purchase_date,name,stockprice,stocks,commision,forex_bank,forex,cost_precommision,commision_perc,cost,unitcost,cost_sgd,purchase_rsi,purchase_trend,lastday_date,lastday_price,lastday_rsi,lastday_trend,appreciation,market_value,change,duration,commision_forex,cost_with_forex,unitcost_with_forex,ticker
2020-04-23,boc,2.86,18000,162.96,0.1849,0.18302,51480.0,0.317,51642.96,2.8690533333333335,9548.783304,,,2020-06-05,2.970000028610228,,,3.52,9884.9004763008,336.1171723007992,43,97.08876480000106,51740.0487648,2.8744471536,3988.hk
2020-05-11,master,279.65,35,26.75,1.4304,1.41706,9787.75,0.273,9814.5,280.4142857142857,14038.6608,,,2020-06-05,309.4700012207031,,,10.36,15493.066058879998,1454.4052588799987,25,130.9254299999991,9945.42543,284.1550122857143,ma
2020-05-06,alibaba,197.2,45,26.75,1.4307001,1.42344,8874.0,0.301,8900.75,197.79444444444445,12734.303915075,,,2020-06-05,219.6280059814453,,,11.04,14140.17106729928,1405.8671522242803,30,64.62033507499893,8965.370335074998,199.2304518905555,baba
2020-05-19,mcd,179.34,55,26.75,1.4307001,1.42344,9863.7,0.271,9890.45,179.82636363636365,14150.267804045001,,,2020-06-05,198.4499969482422,,,10.36,15616.235548544062,1465.9677444990612,17,71.80565604499883,9962.255656045,181.13192101899998,mcd
2020-05-22,icbc,4.98,12000,162.96,0.1852,0.1828,59760.00000000001,0.273,59922.96000000001,4.993580000000001,11097.732192000001,,,2020-06-05,5.230000019073486,,,4.73,11622.6549246816,524.9227326815981,14,143.81510400000082,60066.77510400001,5.005564592000001,1398.hk
2020-06-04,salesforce,173.88,57,26.75,1.4307001,1.42344,9911.16,0.27,9937.91,174.34929824561402,14218.168830790999,,,2020-06-05,173.4600067138672,,,-0.51,14145.656169753966,-72.51266103703347,1,72.15022039099881,10010.060220390998,175.615091585807,crm
